cfg,tr_n,tr_pnl,tr_pf,tr_win,tr_dd,tr_ndd,oo_n,oo_pnl,oo_pf,oo_win,oo_dd,oo_ndd
lvl_sma20d_ib12_r12_rr2.0_md0.0,368,31160,1.26,45.1,-7690,4.1,389,3330,1.02,40.9,-12578,0.3
lvl_sma20d_ib12_r12_rr2.0_md3.0,362,30290,1.26,45.0,-7690,3.9,383,4348,1.03,41.0,-11495,0.4
lvl_sma20d_ib6_r10_rr2.0_md3.0,443,22810,1.17,41.3,-9362,2.4,444,1055,1.01,36.9,-15678,0.1
lvl_sma20d_ib12_r10_rr2.0_md3.0,362,21965,1.21,42.5,-6052,3.6,383,8960,1.07,39.4,-9908,0.9
lvl_sma20d_ib12_r10_rr2.0_md0.0,368,21785,1.2,42.4,-6595,3.3,389,8755,1.07,39.3,-10438,0.8
lvl_sma20d_ib6_r10_rr2.0_md0.0,448,21660,1.16,41.1,-9362,2.3,451,-1180,0.99,36.6,-16208,-0.1
lvl_sma20d_ib6_r12_rr2.0_md3.0,443,18972,1.12,41.1,-13305,1.4,444,12755,1.08,39.9,-17748,0.7
lvl_sma20d_ib6_r12_rr2.0_md0.0,448,17610,1.11,40.8,-13305,1.3,451,10132,1.06,39.5,-18378,0.6
lvl_sma20d_ib18_r12_rr2.0_md0.0,326,16270,1.15,42.6,-7140,2.3,357,-2672,0.98,41.7,-15225,-0.2
lvl_sma20d_ib18_r12_rr2.0_md3.0,319,15292,1.15,42.6,-7680,2.0,349,705,1.01,42.4,-14022,0.1
lvl_sma20d_ib6_r8_rr2.0_md3.0,443,11785,1.1,38.8,-7958,1.5,444,4605,1.04,37.4,-11665,0.4
lvl_sma20d_ib6_r8_rr2.0_md0.0,448,10822,1.09,38.6,-8115,1.3,451,3982,1.03,37.3,-12095,0.3
lvl_sma20d_ib6_r6_rr2.0_md0.0,448,8135,1.09,39.3,-6265,1.3,451,-7180,0.93,35.5,-8835,-0.8
lvl_sma20d_ib18_r10_rr2.0_md0.0,326,8058,1.08,40.8,-7152,1.1,357,-7098,0.94,37.5,-14808,-0.5
lvl_sma20d_ib6_r6_rr2.0_md3.0,443,7985,1.09,39.3,-5605,1.4,444,-6645,0.93,35.6,-8480,-0.8
lvl_sma20d_ib18_r10_rr2.0_md3.0,319,7280,1.08,40.8,-7160,1.0,349,-2720,0.98,38.4,-12775,-0.2
lvl_sma20d_ib12_r8_rr2.0_md3.0,362,4128,1.04,38.7,-8938,0.5,383,5498,1.05,38.4,-9068,0.6
lvl_sma20d_ib12_r8_rr2.0_md0.0,368,2735,1.03,38.3,-9380,0.3,389,5292,1.05,38.3,-8728,0.6
lvl_sma20d_ib18_r8_rr2.0_md3.0,319,318,1.0,37.9,-10598,0.0,349,-5908,0.94,36.7,-13492,-0.4
lvl_sma20d_ib18_r8_rr2.0_md0.0,326,-305,1.0,37.7,-11458,-0.0,357,-9485,0.9,35.9,-16640,-0.6
lvl_sma20d_ib12_r6_rr2.0_md3.0,362,-10622,0.86,34.8,-13010,-0.8,383,2985,1.04,37.9,-9502,0.3
lvl_sma20d_ib18_r6_rr2.0_md0.0,326,-10780,0.85,34.0,-14425,-0.7,357,-10198,0.87,34.2,-13770,-0.7
lvl_sma20d_ib12_r6_rr2.0_md0.0,368,-10790,0.86,34.8,-13178,-0.8,389,3680,1.05,38.0,-9592,0.4
lvl_sma20d_ib18_r6_rr2.0_md3.0,319,-11158,0.84,33.9,-15132,-0.7,349,-7445,0.9,35.0,-11348,-0.7
