i,short,en,st0,stop,rk,tg,r1,r2,hit1,hit2,date,f1,f2,f3,f4,res,pnl,year
129,True,5108.0,5112.75,5112.75,4.75,5098.5,5103.25,5098.5,True,False,2021-07-08,False,False,False,False,target,9.5,2021
44,False,5140.0,5134.5,5134.5,5.5,5151.0,5145.5,5151.0,False,False,2021-07-16,False,False,False,False,stop,-5.5,2021
1,False,5066.25,5063.0,5063.0,3.25,5072.75,5069.5,5072.75,True,False,2021-07-19,False,False,True,True,stop,-3.25,2021
25,False,5050.5,5046.5,5046.5,4.0,5058.5,5054.5,5058.5,False,False,2021-07-19,True,False,False,True,stop,-4.0,2021
26,True,5046.5,5051.75,5051.75,5.25,5036.0,5041.25,5036.0,False,False,2021-07-19,False,True,True,False,stop,-5.25,2021
35,False,5041.25,5038.5,5038.5,2.75,5046.75,5044.0,5046.75,True,False,2021-07-19,True,False,True,True,target,5.5,2021
47,False,5034.5,5030.5,5030.5,4.0,5042.5,5038.5,5042.5,True,False,2021-07-19,True,False,False,True,target,8.0,2021
109,True,5035.5,5040.75,5040.75,5.25,5025.0,5030.25,5025.0,True,False,2021-07-19,False,False,True,False,rev,6.0,2021
113,False,5029.5,5027.0,5027.0,2.5,5034.5,5032.0,5034.5,False,False,2021-07-19,True,False,False,True,stop,-2.5,2021
121,False,5036.0,5033.0,5033.0,3.0,5042.0,5039.0,5042.0,False,False,2021-07-19,False,True,True,True,stop,-3.0,2021
150,True,5033.5,5038.25,5038.25,4.75,5024.0,5028.75,5024.0,False,False,2021-07-19,True,True,True,False,eb_scr,-3.75,2021
166,False,5037.0,5031.75,5031.75,5.25,5047.5,5042.25,5047.5,False,False,2021-07-19,False,False,True,True,rev,-3.0,2021
167,True,5034.0,5039.0,5039.0,5.0,5024.0,5029.0,5024.0,True,False,2021-07-19,True,False,False,False,rev,4.5,2021
170,False,5029.5,5026.5,5026.5,3.0,5035.5,5032.5,5035.5,False,False,2021-07-19,False,False,False,True,stop,-3.0,2021
171,True,5026.75,5031.0,5031.0,4.25,5018.25,5022.5,5018.25,False,False,2021-07-19,False,False,True,False,eb_scr,-2.5,2021
59,False,5179.25,5171.75,5171.75,7.5,5194.25,5186.75,5194.25,False,False,2021-07-27,True,True,True,True,eb_scr,-4.25,2021
55,True,5198.25,5201.25,5201.25,3.0,5192.25,5195.25,5192.25,False,False,2021-08-03,True,False,False,False,eb_scr,-1.75,2021
78,False,5218.25,5215.0,5215.0,3.25,5224.75,5221.5,5224.75,False,False,2021-08-17,True,False,False,True,rev,-1.5,2021
79,True,5216.75,5221.0,5221.0,4.25,5208.25,5212.5,5208.25,True,False,2021-08-17,False,False,True,False,stop,-4.25,2021
60,False,5228.75,5225.5,5225.5,3.25,5235.25,5232.0,5235.25,False,False,2021-08-18,True,False,False,False,stop,-3.25,2021
91,False,5211.75,5209.75,5209.75,2.0,5215.75,5213.75,5215.75,True,False,2021-08-18,True,False,False,True,target,4.0,2021
28,True,5193.75,5196.75,5196.75,3.0,5187.75,5190.75,5187.75,False,False,2021-08-19,True,True,False,False,stop,-3.0,2021
58,False,5196.25,5192.5,5192.5,3.75,5203.75,5200.0,5203.75,False,False,2021-08-19,False,False,False,False,eb_scr,0.0,2021
117,False,5179.5,5177.0,5177.0,2.5,5184.5,5182.0,5184.5,True,False,2021-08-19,True,False,False,True,target,5.0,2021
127,True,5196.25,5198.25,5198.25,2.0,5192.25,5194.25,5192.25,False,False,2021-08-19,False,False,False,False,stop,-2.0,2021
18,False,5273.0,5270.5,5270.5,2.5,5278.0,5275.5,5278.0,False,False,2021-08-26,True,False,False,True,stop,-2.5,2021
35,False,5271.75,5267.5,5267.5,4.25,5280.25,5276.0,5280.25,False,False,2021-08-26,True,True,False,True,eb_scr,-2.25,2021
41,False,5267.25,5264.5,5264.5,2.75,5272.75,5270.0,5272.75,False,False,2021-08-26,True,True,False,True,eb_scr,-0.25,2021
17,True,5289.0,5292.0,5292.0,3.0,5283.0,5286.0,5283.0,False,False,2021-08-27,True,False,False,True,stop,-3.0,2021
1,True,5328.75,5331.5,5331.5,2.75,5323.25,5326.0,5323.25,True,False,2021-09-03,False,False,False,False,target,5.5,2021
38,False,5294.5,5291.25,5291.25,3.25,5301.0,5297.75,5301.0,True,False,2021-09-08,True,False,False,True,target,6.5,2021
64,False,5301.75,5296.25,5296.25,5.5,5312.75,5307.25,5312.75,False,False,2021-09-08,False,False,True,True,eb_scr,-2.25,2021
34,False,5281.75,5276.75,5276.75,5.0,5291.75,5286.75,5291.75,True,False,2021-09-10,True,False,False,True,stop,-5.0,2021
25,False,5267.5,5264.75,5264.75,2.75,5273.0,5270.25,5273.0,True,False,2021-09-13,True,False,False,False,stop,-2.75,2021
20,False,5259.25,5256.5,5256.5,2.75,5264.75,5262.0,5264.75,False,False,2021-09-14,True,False,False,False,stop,-2.75,2021
21,True,5256.5,5260.75,5260.75,4.25,5248.0,5252.25,5248.0,False,False,2021-09-14,False,False,True,False,stop,-4.25,2021
57,True,5243.75,5246.25,5246.25,2.5,5238.75,5241.25,5238.75,False,False,2021-09-17,False,False,False,False,eb_scr,-0.75,2021
64,False,5235.0,5231.0,5231.0,4.0,5243.0,5239.0,5243.0,True,False,2021-09-17,True,True,True,True,target,8.0,2021
2,False,5160.0,5153.5,5153.5,6.5,5173.0,5166.5,5173.0,True,False,2021-09-20,True,False,True,True,target,13.0,2021
34,True,5167.75,5172.5,5172.5,4.75,5158.25,5163.0,5158.25,True,False,2021-09-20,False,True,True,False,rev,3.25,2021
36,False,5164.5,5161.25,5161.25,3.25,5171.0,5167.75,5171.0,False,False,2021-09-20,True,False,False,True,eb_scr,-0.25,2021
75,True,5159.25,5162.5,5162.5,3.25,5152.75,5156.0,5152.75,False,False,2021-09-20,False,False,False,False,stop,-3.25,2021
94,False,5147.25,5144.75,5144.75,2.5,5152.25,5149.75,5152.25,True,False,2021-09-20,True,False,False,True,rev,0.0,2021
95,True,5147.25,5150.0,5150.0,2.75,5141.75,5144.5,5141.75,True,False,2021-09-20,False,False,True,False,target,5.5,2021
163,False,5115.25,5105.75,5105.75,9.5,5134.25,5124.75,5134.25,False,False,2021-09-20,True,True,True,True,rev,-2.25,2021
164,True,5113.0,5117.25,5117.25,4.25,5104.5,5108.75,5104.5,False,False,2021-09-20,False,False,False,False,stop,-4.25,2021
165,False,5115.75,5110.75,5110.75,5.0,5125.75,5120.75,5125.75,False,False,2021-09-20,False,True,True,True,rev,-1.5,2021
166,True,5114.25,5118.0,5118.0,3.75,5106.75,5110.5,5106.75,True,False,2021-09-20,False,False,False,False,target,7.5,2021
172,False,5109.5,5106.5,5106.5,3.0,5115.5,5112.5,5115.5,False,False,2021-09-20,False,False,True,True,stop,-3.0,2021
176,False,5112.25,5102.5,5102.5,9.75,5131.75,5122.0,5131.75,True,False,2021-09-20,True,False,True,True,rev,9.75,2021
181,True,5122.0,5125.5,5125.5,3.5,5115.0,5118.5,5115.0,False,False,2021-09-20,True,False,False,False,stop,-3.5,2021
182,False,5130.0,5121.25,5121.25,8.75,5147.5,5138.75,5147.5,False,False,2021-09-20,False,False,True,True,rev,0.0,2021
183,True,5130.0,5132.75,5132.75,2.75,5124.5,5127.25,5124.5,False,False,2021-09-20,True,False,False,False,stop,-2.75,2021
184,False,5133.75,5128.5,5128.5,5.25,5144.25,5139.0,5144.25,False,False,2021-09-20,False,False,True,True,rev,-2.0,2021
186,True,5131.75,5138.0,5138.0,6.25,5119.25,5125.5,5119.25,False,False,2021-09-20,True,False,True,False,rev,-2.0,2021
187,False,5133.75,5130.0,5130.0,3.75,5141.25,5137.5,5141.25,True,False,2021-09-20,False,False,False,True,target,7.5,2021
52,True,5207.5,5211.25,5211.25,3.75,5200.0,5203.75,5200.0,True,False,2021-09-22,True,False,False,True,target,7.5,2021
54,False,5202.0,5198.5,5198.5,3.5,5209.0,5205.5,5209.0,True,False,2021-09-22,False,False,False,False,stop,-3.5,2021
75,True,5199.0,5202.75,5202.75,3.75,5191.5,5195.25,5191.5,True,False,2021-09-22,False,False,False,True,rev,1.75,2021
77,False,5197.25,5191.5,5191.5,5.75,5208.75,5203.0,5208.75,False,False,2021-09-22,False,False,False,False,rev,-1.0,2021
78,True,5196.25,5199.75,5199.75,3.5,5189.25,5192.75,5189.25,False,False,2021-09-22,False,False,False,True,stop,-3.5,2021
100,False,5205.0,5199.25,5199.25,5.75,5216.5,5210.75,5216.5,False,False,2021-09-22,False,False,True,False,rev,-2.25,2021
101,True,5202.75,5206.5,5206.5,3.75,5195.25,5199.0,5195.25,False,False,2021-09-22,False,False,False,True,target,7.5,2021
104,False,5197.0,5192.75,5192.75,4.25,5205.5,5201.25,5205.5,False,False,2021-09-22,True,False,False,False,rev,-1.5,2021
105,True,5195.5,5198.25,5198.25,2.75,5190.0,5192.75,5190.0,False,False,2021-09-22,False,False,False,True,stop,-2.75,2021
106,False,5201.0,5193.5,5193.5,7.5,5216.0,5208.5,5216.0,False,False,2021-09-22,False,False,True,False,eb_scr,-1.25,2021
109,False,5198.25,5191.75,5191.75,6.5,5211.25,5204.75,5211.25,False,False,2021-09-22,False,False,False,False,stop,-6.5,2021
112,False,5191.5,5187.25,5187.25,4.25,5200.0,5195.75,5200.0,False,False,2021-09-22,False,False,False,False,stop,-4.25,2021
113,True,5187.0,5192.5,5192.5,5.5,5176.0,5181.5,5176.0,True,False,2021-09-22,False,False,True,False,rev,3.5,2021
115,False,5183.5,5180.5,5180.5,3.0,5189.5,5186.5,5189.5,False,False,2021-09-22,True,False,False,False,target,6.0,2021
52,False,5173.25,5163.0,5163.0,10.25,5193.75,5183.5,5193.75,False,False,2021-09-28,True,False,True,True,stop,-10.25,2021
75,False,5159.5,5152.25,5152.25,7.25,5174.0,5166.75,5174.0,False,False,2021-09-28,True,True,True,True,stop,-7.25,2021
121,True,5161.5,5165.0,5165.0,3.5,5154.5,5158.0,5154.5,True,False,2021-09-28,False,False,False,False,target,7.0,2021
191,False,5154.5,5150.75,5150.75,3.75,5162.0,5158.25,5162.0,True,False,2021-09-28,False,True,True,True,open,1.0,2021
26,True,5179.5,5184.75,5184.75,5.25,5169.0,5174.25,5169.0,False,False,2021-09-29,True,False,False,False,eb_scr,2.0,2021
42,False,5172.75,5169.5,5169.5,3.25,5179.25,5176.0,5179.25,False,False,2021-09-29,True,False,False,False,eb_scr,-1.25,2021
51,False,5150.25,5147.5,5147.5,2.75,5155.75,5153.0,5155.75,True,False,2021-09-30,True,False,False,True,target,5.5,2021
70,False,5141.0,5136.75,5136.75,4.25,5149.5,5145.25,5149.5,False,False,2021-09-30,True,False,False,True,stop,-4.25,2021
75,False,5133.0,5130.25,5130.25,2.75,5138.5,5135.75,5138.5,False,False,2021-09-30,True,False,False,True,stop,-2.75,2021
87,False,5122.0,5118.75,5118.75,3.25,5128.5,5125.25,5128.5,False,False,2021-09-30,True,True,True,True,stop,-3.25,2021
88,True,5117.0,5123.75,5123.75,6.75,5103.5,5110.25,5103.5,False,False,2021-09-30,False,False,True,False,rev,-1.0,2021
89,False,5118.0,5114.5,5114.5,3.5,5125.0,5121.5,5125.0,True,False,2021-09-30,True,False,False,True,rev,1.0,2021
91,True,5119.0,5123.0,5123.0,4.0,5111.0,5115.0,5111.0,False,False,2021-09-30,False,False,False,False,rev,-1.75,2021
92,False,5120.75,5117.25,5117.25,3.5,5127.75,5124.25,5127.75,True,False,2021-09-30,False,False,False,True,stop,-3.5,2021
96,False,5122.75,5115.75,5115.75,7.0,5136.75,5129.75,5136.75,False,False,2021-09-30,False,False,True,True,stop,-7.0,2021
101,False,5120.0,5113.25,5113.25,6.75,5133.5,5126.75,5133.5,True,False,2021-09-30,True,True,True,True,target,13.5,2021
119,False,5131.75,5127.25,5127.25,4.5,5140.75,5136.25,5140.75,False,False,2021-09-30,False,False,False,True,stop,-4.5,2021
23,True,5106.25,5109.75,5109.75,3.5,5099.25,5102.75,5099.25,False,False,2021-10-01,False,False,True,False,stop,-3.5,2021
31,True,5111.75,5115.5,5115.5,3.75,5104.25,5108.0,5104.25,False,False,2021-10-01,False,False,False,False,stop,-3.75,2021
32,False,5116.0,5109.75,5109.75,6.25,5128.5,5122.25,5128.5,False,False,2021-10-01,False,False,True,False,eb_scr,-3.25,2021
46,False,5097.75,5093.75,5093.75,4.0,5105.75,5101.75,5105.75,False,False,2021-10-01,False,False,False,True,stop,-4.0,2021
84,True,5117.0,5119.75,5119.75,2.75,5111.5,5114.25,5111.5,False,False,2021-10-01,True,False,False,False,rev,-0.25,2021
85,False,5117.25,5114.25,5114.25,3.0,5123.25,5120.25,5123.25,True,False,2021-10-01,False,True,False,False,target,6.0,2021
50,False,5098.75,5095.5,5095.5,3.25,5105.25,5102.0,5105.25,False,False,2021-10-04,True,False,False,False,stop,-3.25,2021
51,True,5095.0,5100.0,5100.0,5.0,5085.0,5090.0,5085.0,False,False,2021-10-04,False,False,True,False,stop,-5.0,2021
67,False,5089.5,5083.75,5083.75,5.75,5101.0,5095.25,5101.0,True,False,2021-10-04,True,True,True,True,target,11.5,2021
102,True,5096.0,5100.5,5100.5,4.5,5087.0,5091.5,5087.0,True,False,2021-10-04,True,False,False,False,target,9.0,2021
1,False,5118.75,5113.0,5113.0,5.75,5130.25,5124.5,5130.25,False,False,2021-10-05,False,False,True,False,stop,-5.75,2021
52,True,5120.25,5125.0,5125.0,4.75,5110.75,5115.5,5110.75,False,False,2021-10-06,True,False,False,False,stop,-4.75,2021
141,False,5137.25,5133.25,5133.25,4.0,5145.25,5141.25,5145.25,True,False,2021-10-06,False,False,False,False,target,8.0,2021
40,False,5336.0,5333.0,5333.0,3.0,5342.0,5339.0,5342.0,True,False,2021-10-22,True,True,False,False,stop,-3.0,2021
45,True,5432.25,5439.75,5439.75,7.5,5417.25,5424.75,5417.25,False,False,2021-11-03,True,True,False,True,stop,-7.5,2021
66,False,5487.0,5483.0,5483.0,4.0,5495.0,5491.0,5495.0,True,False,2021-11-05,True,False,False,False,target,8.0,2021
18,False,5481.75,5478.0,5478.0,3.75,5489.25,5485.5,5489.25,False,False,2021-11-09,True,False,False,True,rev,0.75,2021
19,True,5482.5,5484.5,5484.5,2.0,5478.5,5480.5,5478.5,False,False,2021-11-09,False,False,False,False,stop,-2.0,2021
20,False,5487.0,5481.25,5481.25,5.75,5498.5,5492.75,5498.5,False,False,2021-11-09,False,False,True,True,rev,-3.25,2021
21,True,5483.75,5488.5,5488.5,4.75,5474.25,5479.0,5474.25,True,False,2021-11-09,False,False,False,False,rev,4.25,2021
26,False,5479.5,5475.0,5475.0,4.5,5488.5,5484.0,5488.5,True,False,2021-11-09,True,False,False,True,target,9.0,2021
68,False,5460.5,5458.75,5458.75,1.75,5464.0,5462.25,5464.0,False,False,2021-11-10,True,True,False,True,target,3.5,2021
26,True,5480.75,5484.0,5484.0,3.25,5474.25,5477.5,5474.25,False,False,2021-11-18,False,False,False,False,eb_scr,-1.25,2021
1,False,5506.5,5503.5,5503.5,3.0,5512.5,5509.5,5512.5,False,False,2021-11-19,False,False,False,False,stop,-3.0,2021
58,False,5513.25,5506.25,5506.25,7.0,5527.25,5520.25,5527.25,True,False,2021-11-22,True,False,True,False,rev,0.25,2021
61,True,5513.5,5520.75,5520.75,7.25,5499.0,5506.25,5499.0,False,False,2021-11-22,False,False,True,False,rev,-2.5,2021
62,False,5516.0,5510.25,5510.25,5.75,5527.5,5521.75,5527.5,False,False,2021-11-22,False,False,False,False,stop,-5.75,2021
58,False,5460.0,5457.75,5457.75,2.25,5464.5,5462.25,5464.5,True,False,2021-11-23,True,False,False,True,target,4.5,2021
116,False,5421.5,5414.5,5414.5,7.0,5435.5,5428.5,5435.5,False,False,2021-11-26,False,False,True,True,rev,-2.5,2021
117,True,5419.0,5422.75,5422.75,3.75,5411.5,5415.25,5411.5,False,False,2021-11-26,True,False,False,False,rev,-0.75,2021
118,False,5419.75,5417.0,5417.0,2.75,5425.25,5422.5,5425.25,False,False,2021-11-26,False,False,False,True,target,5.5,2021
133,False,5397.5,5390.0,5390.0,7.5,5412.5,5405.0,5412.5,True,False,2021-11-26,True,False,False,True,target,15.0,2021
143,False,5408.25,5399.5,5399.5,8.75,5425.75,5417.0,5425.75,False,False,2021-11-26,False,True,True,True,stop,-8.75,2021
144,True,5398.75,5410.25,5410.25,11.5,5375.75,5387.25,5375.75,False,False,2021-11-26,False,True,True,False,rev,-6.25,2021
145,False,5405.0,5396.0,5396.0,9.0,5423.0,5414.0,5423.0,False,False,2021-11-26,False,False,False,True,rev,-1.25,2021
146,True,5403.75,5408.5,5408.5,4.75,5394.25,5399.0,5394.25,True,False,2021-11-26,False,False,False,False,rev,1.25,2021
147,False,5402.5,5398.75,5398.75,3.75,5410.0,5406.25,5410.0,False,False,2021-11-26,False,False,False,True,eb_scr,-2.75,2021
1,False,5432.25,5426.75,5426.75,5.5,5443.25,5437.75,5443.25,True,False,2021-11-30,False,False,True,True,rev,6.75,2021
4,True,5439.0,5441.5,5441.5,2.5,5434.0,5436.5,5434.0,False,False,2021-11-30,True,False,False,False,eb_scr,1.0,2021
53,True,5446.75,5449.75,5449.75,3.0,5440.75,5443.75,5440.75,False,False,2021-11-30,False,False,False,False,eb_scr,-1.0,2021
58,False,5440.0,5436.5,5436.5,3.5,5447.0,5443.5,5447.0,False,False,2021-11-30,False,False,False,False,rev,-0.25,2021
59,True,5439.75,5443.25,5443.25,3.5,5432.75,5436.25,5432.75,True,False,2021-11-30,False,False,True,False,target,7.0,2021
63,True,5438.25,5442.75,5442.75,4.5,5429.25,5433.75,5429.25,False,False,2021-11-30,False,False,False,False,rev,-2.75,2021
64,False,5441.0,5435.5,5435.5,5.5,5452.0,5446.5,5452.0,False,False,2021-11-30,False,True,False,False,stop,-5.5,2021
73,False,5418.0,5415.25,5415.25,2.75,5423.5,5420.75,5423.5,True,False,2021-11-30,True,False,False,True,rev,0.0,2021
75,True,5418.0,5423.5,5423.5,5.5,5407.0,5412.5,5407.0,True,False,2021-11-30,False,True,False,False,target,11.0,2021
83,False,5401.25,5396.5,5396.5,4.75,5410.75,5406.0,5410.75,False,False,2021-11-30,True,False,False,True,rev,0.0,2021
85,True,5401.25,5406.0,5406.0,4.75,5391.75,5396.5,5391.75,True,False,2021-11-30,False,True,False,False,target,9.5,2021
90,False,5393.25,5388.25,5388.25,5.0,5403.25,5398.25,5403.25,False,False,2021-11-30,True,False,False,True,rev,-3.0,2021
91,True,5390.25,5396.75,5396.75,6.5,5377.25,5383.75,5377.25,True,False,2021-11-30,False,False,True,False,rev,0.25,2021
95,False,5390.0,5383.75,5383.75,6.25,5402.5,5396.25,5402.5,True,False,2021-11-30,False,True,True,True,rev,4.25,2021
98,True,5394.25,5398.25,5398.25,4.0,5386.25,5390.25,5386.25,False,False,2021-11-30,False,False,False,False,rev,-2.5,2021
99,False,5396.75,5392.5,5392.5,4.25,5405.25,5401.0,5405.25,False,False,2021-11-30,False,False,False,True,stop,-4.25,2021
100,True,5392.5,5397.75,5397.75,5.25,5382.0,5387.25,5382.0,False,False,2021-11-30,False,False,True,False,stop,-5.25,2021
102,False,5396.75,5391.5,5391.5,5.25,5407.25,5402.0,5407.25,False,False,2021-11-30,False,False,True,True,eb_scr,-1.25,2021
110,True,5408.75,5411.75,5411.75,3.0,5402.75,5405.75,5402.75,False,False,2021-11-30,True,False,False,False,target,6.0,2021
112,False,5406.5,5400.75,5400.75,5.75,5418.0,5412.25,5418.0,False,False,2021-11-30,False,False,False,True,stop,-5.75,2021
113,True,5401.0,5408.0,5408.0,7.0,5387.0,5394.0,5387.0,False,False,2021-11-30,False,False,True,False,rev,-1.0,2021
114,False,5402.0,5399.25,5399.25,2.75,5407.5,5404.75,5407.5,False,False,2021-11-30,False,False,False,True,stop,-2.75,2021
118,True,5400.0,5403.0,5403.0,3.0,5394.0,5397.0,5394.0,True,False,2021-11-30,False,False,False,False,rev,-0.5,2021
119,False,5400.5,5396.25,5396.25,4.25,5409.0,5404.75,5409.0,False,False,2021-11-30,False,False,False,True,rev,-1.0,2021
121,True,5399.5,5404.5,5404.5,5.0,5389.5,5394.5,5389.5,True,False,2021-11-30,False,False,True,False,rev,3.5,2021
124,False,5396.0,5391.5,5391.5,4.5,5405.0,5400.5,5405.0,False,False,2021-11-30,False,False,False,True,stop,-4.5,2021
135,False,5381.5,5376.75,5376.75,4.75,5391.0,5386.25,5391.0,False,False,2021-11-30,True,False,True,True,stop,-4.75,2021
147,False,5378.5,5373.0,5373.0,5.5,5389.5,5384.0,5389.5,False,False,2021-11-30,True,False,True,True,eb_scr,-3.75,2021
152,False,5379.0,5370.75,5370.75,8.25,5395.5,5387.25,5395.5,False,False,2021-11-30,True,False,True,True,rev,0.5,2021
153,True,5379.5,5383.0,5383.0,3.5,5372.5,5376.0,5372.5,False,False,2021-11-30,False,False,False,False,stop,-3.5,2021
157,True,5384.0,5387.75,5387.75,3.75,5376.5,5380.25,5376.5,False,False,2021-11-30,False,False,False,False,eb_scr,-0.5,2021
229,False,5380.75,5375.5,5375.5,5.25,5391.25,5386.0,5391.25,False,False,2021-11-30,True,False,True,True,eb_scr,-4.25,2021
262,True,5372.75,5378.25,5378.25,5.5,5361.75,5367.25,5361.75,False,False,2021-11-30,False,False,True,False,rev,-4.0,2021
263,False,5376.75,5370.0,5370.0,6.75,5390.25,5383.5,5390.25,True,False,2021-11-30,False,False,False,True,target,13.5,2021
113,False,5410.0,5406.0,5406.0,4.0,5418.0,5414.0,5418.0,False,False,2021-12-01,True,False,False,False,rev,-2.75,2021
114,True,5407.25,5412.5,5412.5,5.25,5396.75,5402.0,5396.75,False,False,2021-12-01,False,False,False,False,rev,-2.5,2021
118,False,5409.75,5402.5,5402.5,7.25,5424.25,5417.0,5424.25,False,False,2021-12-01,True,False,True,False,stop,-7.25,2021
122,False,5403.75,5400.0,5400.0,3.75,5411.25,5407.5,5411.25,True,False,2021-12-01,False,False,False,False,target,7.5,2021
124,True,5408.75,5412.25,5412.25,3.5,5401.75,5405.25,5401.75,False,False,2021-12-01,False,False,False,False,stop,-3.5,2021
134,False,5401.25,5397.75,5397.75,3.5,5408.25,5404.75,5408.25,True,False,2021-12-01,False,False,False,False,rev,0.25,2021
135,True,5401.5,5405.25,5405.25,3.75,5394.0,5397.75,5394.0,True,False,2021-12-01,False,False,True,False,target,7.5,2021
140,False,5393.5,5386.25,5386.25,7.25,5408.0,5400.75,5408.0,True,False,2021-12-01,True,True,True,False,rev,5.5,2021
143,True,5399.0,5401.75,5401.75,2.75,5393.5,5396.25,5393.5,False,False,2021-12-01,False,False,False,False,stop,-2.75,2021
144,False,5402.25,5396.25,5396.25,6.0,5414.25,5408.25,5414.25,False,False,2021-12-01,False,True,True,False,stop,-6.0,2021
163,False,5389.5,5382.25,5382.25,7.25,5404.0,5396.75,5404.0,True,False,2021-12-01,False,False,True,False,target,14.5,2021
188,False,5377.75,5375.0,5375.0,2.75,5383.25,5380.5,5383.25,True,False,2021-12-01,True,False,False,False,stop,-2.75,2021
190,True,5372.75,5381.5,5381.5,8.75,5355.25,5364.0,5355.25,False,False,2021-12-01,False,False,True,False,rev,0.75,2021
193,False,5372.0,5368.75,5368.75,3.25,5378.5,5375.25,5378.5,False,False,2021-12-01,False,False,True,False,stop,-3.25,2021
208,True,5350.0,5353.5,5353.5,3.5,5343.0,5346.5,5343.0,False,False,2021-12-01,False,False,False,False,stop,-3.5,2021
209,False,5354.0,5348.5,5348.5,5.5,5365.0,5359.5,5365.0,False,False,2021-12-01,False,False,True,True,rev,-4.0,2021
211,True,5350.0,5359.0,5359.0,9.0,5332.0,5341.0,5332.0,False,False,2021-12-01,False,False,True,False,rev,-0.75,2021
216,False,5350.75,5344.0,5344.0,6.75,5364.25,5357.5,5364.25,True,False,2021-12-01,False,True,True,True,rev,4.0,2021
219,True,5354.75,5358.25,5358.25,3.5,5347.75,5351.25,5347.75,False,False,2021-12-01,False,False,False,False,target,7.0,2021
221,False,5355.75,5347.25,5347.25,8.5,5372.75,5364.25,5372.75,False,False,2021-12-01,False,False,True,True,rev,2.0,2021
224,True,5357.75,5363.25,5363.25,5.5,5346.75,5352.25,5346.75,False,False,2021-12-01,True,False,True,False,rev,-3.25,2021
225,False,5361.0,5356.25,5356.25,4.75,5370.5,5365.75,5370.5,True,False,2021-12-01,False,False,False,True,rev,2.0,2021
226,True,5363.0,5366.25,5366.25,3.25,5356.5,5359.75,5356.5,False,False,2021-12-01,False,False,False,False,rev,-2.75,2021
227,False,5365.75,5360.5,5360.5,5.25,5376.25,5371.0,5376.25,False,False,2021-12-01,False,False,True,True,stop,-5.25,2021
253,True,5321.0,5324.5,5324.5,3.5,5314.0,5317.5,5314.0,True,False,2021-12-01,False,False,False,False,target,7.0,2021
2,True,5323.75,5328.5,5328.5,4.75,5314.25,5319.0,5314.25,False,False,2021-12-02,True,True,False,False,rev,-0.0,2021
3,False,5323.75,5320.0,5320.0,3.75,5331.25,5327.5,5331.25,False,False,2021-12-02,False,False,False,False,stop,-3.75,2021
28,True,5356.25,5362.5,5362.5,6.25,5343.75,5350.0,5343.75,False,False,2021-12-02,True,False,True,False,stop,-6.25,2021
43,False,5362.75,5360.0,5360.0,2.75,5368.25,5365.5,5368.25,False,False,2021-12-02,False,False,False,False,target,5.5,2021
68,False,5355.25,5348.25,5348.25,7.0,5369.25,5362.25,5369.25,True,False,2021-12-02,True,False,True,False,stop,-7.0,2021
86,False,5344.0,5337.0,5337.0,7.0,5358.0,5351.0,5358.0,False,False,2021-12-02,True,False,True,False,stop,-7.0,2021
127,True,5367.25,5378.75,5378.75,11.5,5344.25,5355.75,5344.25,True,False,2021-12-02,False,False,True,False,rev,7.0,2021
130,False,5360.25,5355.5,5355.5,4.75,5369.75,5365.0,5369.75,True,False,2021-12-02,False,False,False,False,target,9.5,2021
168,False,5391.0,5383.0,5383.0,8.0,5407.0,5399.0,5407.0,False,False,2021-12-02,False,True,True,False,stop,-8.0,2021
238,False,5388.0,5381.75,5381.75,6.25,5400.5,5394.25,5400.5,True,False,2021-12-02,False,False,True,False,target,12.5,2021
272,False,5387.25,5381.75,5381.75,5.5,5398.25,5392.75,5398.25,False,False,2021-12-02,False,False,True,False,open,-2.25,2021
29,False,5371.25,5363.25,5363.25,8.0,5387.25,5379.25,5387.25,False,False,2021-12-03,True,True,True,False,stop,-8.0,2021
74,False,5352.75,5346.0,5346.0,6.75,5366.25,5359.5,5366.25,True,False,2021-12-03,True,False,True,False,stop,-6.75,2021
103,True,5337.5,5340.75,5340.75,3.25,5331.0,5334.25,5331.0,False,False,2021-12-03,False,False,False,False,target,6.5,2021
116,False,5328.25,5324.75,5324.75,3.5,5335.25,5331.75,5335.25,False,False,2021-12-03,False,False,False,False,stop,-3.5,2021
127,False,5342.0,5336.75,5336.75,5.25,5352.5,5347.25,5352.5,True,False,2021-12-03,False,False,False,False,stop,-5.25,2021
159,False,5330.75,5325.0,5325.0,5.75,5342.25,5336.5,5342.25,False,False,2021-12-03,False,False,True,False,rev,-3.0,2021
160,True,5327.75,5332.5,5332.5,4.75,5318.25,5323.0,5318.25,False,False,2021-12-03,False,False,False,False,stop,-4.75,2021
161,False,5334.5,5326.5,5326.5,8.0,5350.5,5342.5,5350.5,False,False,2021-12-03,False,False,True,False,stop,-8.0,2021
204,False,5323.5,5319.0,5319.0,4.5,5332.5,5328.0,5332.5,False,False,2021-12-03,False,False,True,False,stop,-4.5,2021
225,False,5312.0,5306.0,5306.0,6.0,5324.0,5318.0,5324.0,True,False,2021-12-03,True,False,False,True,target,12.0,2021
228,True,5324.0,5327.25,5327.25,3.25,5317.5,5320.75,5317.5,True,False,2021-12-03,False,False,False,False,target,6.5,2021
